"No.","Name","Price","Quantity"
144,"มันสำปะหลัง – เบอร์เล็ก","12-13","กิโลกรัม"
145,"พาร์สเลย์","80-100","กิโลกรัม"
146,"ผักกระเฉด – มัด (10 กำใหญ่)","80-90","กิโลกรัม"
147,"มันสำปะหลัง คละขนาด","13-15","กิโลกรัม"
148,"น้ำเต้า","16-20","กิโลกรัม"
149,"ผักกระเฉด เด็ด","80-100","กิโลกรัม"
150,"เห็ดโคนญี่ปุ่น","70-85","กิโลกรัม"
151,"เห็ดโคนหิมะ","70-85","กิโลกรัม"
152,"ผักปลัง","70-80","กิโลกรัม"
153,"ผักโขมจีน","80-90","กิโลกรัม"
154,"ปวยเล้ง","70-80","กิโลกรัม"
155,"บีทรูท","35-40","กิโลกรัม"
156,"บัตเตอร์เฮด","80-100","กิโลกรัม"
157,"ใบยี่หร่า","40-50","กิโลกรัม"
158,"ดอกแค","40-60","กิโลกรัม"
159,"เห็ดชิเมจิขาวและน้ำตาล","70-80","กิโลกรัม"
160,"เห็ดเข็มทอง","40-70","กิโลกรัม"
161,"เห็ดชิเมจิขาว","70-80","กิโลกรัม"
162,"หัวปลี","10-12","กิโลกรัม"
163,"หัวปลี ขนาดเล็ก","10-12","กิโลกรัม"
164,"หัวปลี ขนาดใหญ่","10-12","กิโลกรัม"
165,"หัวปลี ขนาดกลาง","10-12","กิโลกรัม"
166,"เห็ดชิเมจิน้ำตาล","70-80",""
167,"ยอดผักขี้เหล็กต้ม","40-50","กิโลกรัม"
168,"ดอกขี้เหล็กต้ม","70-80","กิโลกรัม"
169,"ใบขี้เหล็กต้ม","35-50","กิโลกรัม"
170,"แตงไทยอ่อน","26-30","กิโลกรัม"
171,"แตงไทยอ่อน ขนาดกลาง","26-30","กิโลกรัม"
172,"แห้วต้มปอกเปลือก","75-80","กิโลกรัม"
173,"แห้วดิบ ไม่ปอกเปลือก คละขนาด","40-50","กิโลกรัม"
174,"แห้วดิบปอกเปลือก","70-75","กิโลกรัม"
175,"ยอดสะเดา","40-50","กิโลกรัม"
176,"ดอกสะเดา","120-150","กิโลกรัม"
177,"กระเทียมจีน ปอก ล้าง ตัดแต่ง คละขนาด","70-80","กิโลกรัม"
178,"ยอดฟักทอง","40-50","กิโลกรัม"
179,"กระเทียมจีน กลีบใหญ่ ปอกเปลือก","80-90","กิโลกรัม"
180,"กระเทียมจีน กลีบเล็ก ปอกเปลือก","70-80","กิโลกรัม"
181,"กระเทียมจีน – เบอร์เล็ก","70-75","กิโลกรัม"
182,"มะรุม ไม่ปอกเปลือก","15-20","กิโลกรัม"
183,"มะรุม ปอกเปลือก","24-40","กิโลกรัม"
184,"เซเลอรี่","50-70","กิโลกรัม"
185,"ฟักเขียว แก่ ขนาดเล็ก","22-24","กิโลกรัม"
186,"ลูกฟักแม้ว","20-30","กิโลกรัม"
187,"ฟักข้าว","10-12",""
188,"ยอดมะระขี้นก","25-30","กิโลกรัม"
189,"ฟักเขียว แก่ ขนาดกลาง","16-20","กิโลกรัม"
190,"ฟักเขียว แก่ ขนาดใหญ่","12-18","กิโลกรัม"
191,"พริกแดงตุ้มพม่าแห้ง","92-110","กิโลกรัม"
192,"โครอล","70-80","กิโลกรัม"
193,"สายบัวลอก","20-25","กิโลกรัม"
194,"ไหลบัว","65-70","กิโลกรัม"
195,"สายบัว หั่นท่อน","20-25","กิโลกรัม"
196,"มะเขือเสวย / มะเขือไข่ยาว สีม่วง","35-38","กิโลกรัม"
197,"มันไข่ – เบอร์ใหญ่","16-17","กิโลกรัม"
198,"มันไข่ ส้ม ขนาดเล็ก","12-14","กิโลกรัม"
199,"มันไข่ส้ม","13-17","กิโลกรัม"
200,"มันไข่ เหลือง คละขนาด","0-0","กิโลกรัม"
201,"มะเขือเสวย / มะเขือไข่ยาว คละสี","35-40","กิโลกรัม"
202,"มะเขือเสวย / มะเขือไข่ยาว สีเขียว","35-40","กิโลกรัม"
203,"มะเขือเสวย / มะเขือไข่ยาว สีขาว","35-40","กิโลกรัม"
204,"มันไข่ ส้ม ขนาดใหญ่","16-17","กิโลกรัม"
205,"ไควาเระ","40-50","กิโลกรัม"
206,"บอระเพ็ด","50-60","กิโลกรัม"
207,"เกาลัด","130-250","กิโลกรัม"
208,"ผักแว่น","70-80","กิโลกรัม"
209,"หน่อไม้นึ่ง","40-55","กิโลกรัม"
210,"สมอ","40-50","กิโลกรัม"
211,"ใบเหลียง","100-140","กิโลกรัม"
212,"ผักแพว","40-50","กิโลกรัม"
213,"โรสแมรี","0-0","กิโลกรัม"
214,"เห็ดแชมปิญองขาว","180-230","กิโลกรัม"
215,"ดอกขี้เหล็ก","70-80","กิโลกรัม"
216,"เห็ดแชมปิญองน้ำตาล","180-230","กิโลกรัม"
217,"ดอกโสน","50-80","กิโลกรัม"
218,"ใบย่านาง","70-80","กิโลกรัม"
219,"ดอกอัญชัน","80-90","กิโลกรัม"
220,"พริกไทยขาว","230-265","กิโลกรัม"
221,"ใบขี้เหล็ก","20-40","กิโลกรัม"
222,"ใบยอ","15-20","กิโลกรัม"
223,"มันเทศไทย ขนาดกลาง","20-25","กิโลกรัม"
224,"มันเทศไทย ขนาดเล็ก","18-20","กิโลกรัม"
225,"มันเทศ – เบอร์ใหญ่","25-30","กิโลกรัม"
226,"มันเทศ – เบอร์เล็ก","18-20","กิโลกรัม"
227,"มันแกว – เบอร์เล็ก","10-11","กิโลกรัม"
228,"มันแกว ขนาดใหญ่","17-20","กิโลกรัม"
229,"มันแกว คละขนาด","11-16","กิโลกรัม"
230,"เห็ดหูหนู","50-60","กิโลกรัม"
231,"มันแกว – เบอร์กลาง","15-16","กิโลกรัม"
232,"มันแกว ขนาดเล็ก","10-11","กิโลกรัม"
233,"มะขามอ่อน","40-50","กิโลกรัม"
234,"หอมหัวใหญ่ ไม่ปอกเปลือก คละขนาด","28-40","กิโลกรัม"
235,"หอมแขก ตัดจุก ปอกเปลือก คละขนาด","28-50","กิโลกรัม"
236,"หอมหัวใหญ่","28-40","กิโลกรัม"
237,"ข้าวโพดข้าวเหนียว – เบอร์กลาง","15-18","กิโลกรัม"
238,"กระชายซอย","90-140","กิโลกรัม"
239,"รากผักชี","100-120","กิโลกรัม"
240,"ซูกินี","80-90","กิโลกรัม"
241,"ผักกาดเขียว","10-20","กิโลกรัม"
242,"เห็ดกระด้าง","120-180","กิโลกรัม"
243,"ผักกาดขาวปลี / ไชลุ้ย (จีน) ลอก","40-45","กิโลกรัม"
244,"มันสำปะหลัง ขนาดกลาง","18-20","กิโลกรัม"
245,"กระเทียมโทน","130-150","กิโลกรัม"
246,"หน่อไม้หวาน","16-20","กิโลกรัม"
247,"บวบงู","30-40","กิโลกรัม"
248,"พริกขี้หนูสวนหอม เด็ดก้าน","160-300","กิโลกรัม"
249,"มะขามเปียก ติดเม็ด","50-60","กิโลกรัม"
250,"มะขามเปียก แกะเม็ด ติดก้าน","70-75","กิโลกรัม"
251,"มะนาวตาฮิติ","250-350",""
252,"แตงร้าน","18-20","กิโลกรัม"
253,"ผักหวานบ้าน","80-120","กิโลกรัม"
254,"มะนาว 600 ลูก/กระสอบ","500-600","กระสอบ"
255,"คะน้าต้นอ้วน / คะน้าเห็ดหอม","20-30","กิโลกรัม"
256,"สะระแหน่","100-150","กิโลกรัม"
257,"แตงร้าน ขนาดกลาง","18-19","กิโลกรัม"
258,"ผักบุ้งน้ำ – มัด (25 กำ)","8-12","กิโลกรัม"
259,"ผักบุ้งไทย(ผักบุ้งนา) – มัด (10 กำ)","8-12","กิโลกรัม"
260,"มะกอกป่า","40-60","กิโลกรัม"
261,"ใบกระเพรา","20-30","กิโลกรัม"
262,"พริกชี้ฟ้าแดง (สดแดง)","60-70","กิโลกรัม"
263,"กระชายหัว","100-150","กิโลกรัม"
264,"เห็ดฟาง – เบอร์เล็ก","40-50","กิโลกรัม"
265,"เห็ดฟาง – เบอร์กลาง","60-80","กิโลกรัม"
266,"เห็ดนางฟ้าภูฐาน","80-90","กิโลกรัม"
267,"เห็ดนางฟ้าน้ำตาล","80-90","กิโลกรัม"
268,"ฟักอ่อน","12-14","กิโลกรัม"
269,"เห็ดฟาง คละขนาด","40-130","กิโลกรัม"
270,"มันต่อเผือก","14-16","กิโลกรัม"
271,"ถั่วลิสงต้ม","70-75","กิโลกรัม"
272,"มันเทียน","0-0","กิโลกรัม"
273,"กระจับ","30-30","กิโลกรัม"
274,"ผักกาดแก้ว","80-90","กิโลกรัม"
275,"ขมิ้นขาว","90-130","กิโลกรัม"
276,"ข่าอ่อน","65-70","กิโลกรัม"
277,"ใบบัวบก","30-40","กิโลกรัม"
278,"พริกชี้ฟ้าเหลือง ติดก้าน","80-100","กิโลกรัม"
279,"ลูกมะกรูด คละขนาด","30-40","กิโลกรัม"
280,"มะนาว 500 ลูก/กระสอบ","1000-1100","กระสอบ"
281,"พริกขี้หนูสวนหอม ติดก้าน","120-240","กิโลกรัม"
282,"ข่าแก่","35-40","กิโลกรัม"
283,"ขิงอ่อน","60-70","กิโลกรัม"
284,"ขมิ้นเหลือง","50-60","กิโลกรัม"
285,"กวางตุ้งไต้หวัน","16-26","กิโลกรัม"
286,"แตงกวาไทย ขนาดกลาง","16-18","กิโลกรัม"
287,"ต้นหอมญี่ปุ่น ใบสั้น","100-120","กิโลกรัม"
288,"เห็ดฟาง – เบอร์ใหญ่","100-150","กิโลกรัม"
289,"มะเขือพวง (ไม่เด็ด)","50-60","กิโลกรัม"
290,"ใบมะกรูด","40-50","กิโลกรัม"
291,"หัวไชเท้า ขนาดกลาง","30-34","กิโลกรัม"
292,"หัวไชเท้า ขนาดเล็ก","30-32","กิโลกรัม"
293,"หัวไชเท้า ขนาดใหญ่","20-38","กิโลกรัม"
294,"มะเขือเทศท้อเขียว","20-30","กิโลกรัม"
295,"กระเจี๊ยบเขียว","20-30","กิโลกรัม"
